STT,ID,Tên_Việt,Tên_Hán,Lat,Lon,Province,Source,Status,Mô_tả,Ghi_chú_Admin
248,PL000000000274,,順承門,39.910958,116.359041,中國-北京市-市轄區-西城區,DILA,master,,
249,PL000000000275,,大明殿,39.910958,116.359041,中國-北京市-市轄區-西城區,DILA,master,,
250,PL000000000277,,中書省,39.91014,116.393668,中國-北京市-市轄區-東城區,DILA,master,,
251,PL000000000279,,萬歲山,39.924275,116.382999,中國-北京市-市轄區-西城區,DILA,master,,
252,PL000000000280,,白塔山,39.924364,116.382442,中國-北京市-市轄區-西城區,DILA,master,,
253,PL000000000281,,石徑山,39.933883,116.141051,中國-北京市-市轄區-西城區,DILA,master,,
254,PL000000000282,,覺山,39.910958,116.359041,中國-北京市-市轄區-西城區,DILA,master,,
255,PL000000000283,,長榮茶菴,39.9306,116.3779,中國-北京市-市轄區-西城區,DILA,master,,
256,PL000000000284,,鷲峰寺,39.90608,116.353966,中國-北京市-市轄區-西城區,DILA,master,,
257,PL000000000285,,聖壽萬安寺,39.924299,116.357144,中國-北京市-市轄區-西城區,DILA,master,,
258,PL000000000286,,萬壽,39.945334,116.305257,中國-北京市-市轄區-西城區,DILA,master,,
259,PL000000000287,,寶集,39.910958,116.359041,中國-北京市-市轄區-西城區,DILA,master,,
260,PL000000000288,,瑞應寺,39.943721,116.382419,中國-北京市-市轄區-西城區,DILA,master,,
261,PL000000000289,,大隆善,39.934501,116.36908,中國-北京市-市轄區-西城區,DILA,master,,
262,PL000000000290,,三教寺,39.899765,116.335631,中國-北京市-市轄區-西城區,DILA,master,,
263,PL000000000291,,廣濟律寺,39.923721,116.365924,中國-北京市-市轄區-西城區,DILA,master,,
264,PL000000000292,,千佛叢林,39.945488,116.38079,中國-北京市-市轄區-西城區,DILA,master,,
265,PL000000000293,,廣濟寺,39.939021,116.347987,中國-北京市-市轄區-西城區,DILA,master,,
266,PL000000000294,,舍飯寺,39.907497,116.366164,中國-北京市-市轄區-西城區,DILA,master,,
267,PL000000000295,,祐聖寺,39.958308,116.378079,中國-北京市-市轄區-西城區,DILA,master,,
268,PL000000000296,,十方院,39.933085,116.352944,中國-北京市-市轄區-西城區,DILA,master,,
269,PL000000000297,,圓通禪林,39.906198,116.356724,中國-北京市-市轄區-西城區,DILA,master,,
270,PL000000000298,,賢良祠,39.932358,116.38058,中國-北京市-市轄區-西城區,DILA,master,,
271,PL000000000299,,鐵佛寺,39.91141,116.352534,中國-北京市-市轄區-西城區,DILA,master,,
272,PL000000000300,,能仁寺,39.919536,116.359929,中國-北京市-市轄區-西城區,DILA,master,,
273,PL000000000301,,倒影廟,39.922739,116.342052,中國-北京市-市轄區-西城區,DILA,master,,
274,PL000000000302,,昊天寺,39.973248,116.120293,中國-北京市-市轄區-石景山區,DILA,master,,
