ex:monk/a_nan","Tôn Giả A Nan"
"ex:monk/cao_an_dai_ngu","Cao An Đại Ngu"
"ex:monk/cao_duong_phap_quang","Cao Dương Pháp Quảng"
"ex:monk/cao_ly_linh_giam","Cao Ly Linh Giám"
"ex:monk/cao_phong_nguyen_dieu","Cao Phong Nguyên Diệu"
"ex:monk/cat_chau_chi_quan","Cát Châu Chỉ Quán"
"ex:monk/cat_chau_chi_thanh","Cát Châu Chí Thành"
"ex:monk/cat_chau_gian_chi","Cát Châu Giản Chi"
"ex:monk/cat_chau_hoa_son","Cát Châu Hòa Sơn"
"ex:monk/cat_chau_sung_an","Cát Châu Sùng Ân"
"ex:monk/cat_chau_tanh_khong","Cát Châu Tánh Không"
"ex:monk/cat_chau_thu_son","Cát Châu Thu Sơn"
"ex:monk/cat_chau_tien_cu","Cát Châu Tiên Cư"
"ex:monk/cat_chau_uong_son","Cát Châu Uông Sơn"
"ex:monk/cat_tuong_phap_tuyen","Cát Tường Pháp Tuyên"
"ex:monk/cau_khong_khe_ban","Câu Không Khế Bân"
"ex:monk/cham_phong_thanh_hoan","Chẩm Phong Thanh Hoán"
"ex:monk/chan_dao_bich_phong","Chân Đạo Bích Phong"
"ex:monk/chan_nhu_ao_hoi","Chân Như Ðạo Hội"
"ex:monk/chan_nhu_gioi_huong","Chân Như Giới Hương"
"ex:monk/chan_nhu_phuong","Chân Như Phương"
"ex:monk/chan_tue","Thiền Sư Chân Tuệ"
"ex:monk/chan_yet_thanh_lieu","Chân Yết Thanh Liễu"
"ex:monk/chanh_binh_vo_tuong","Chánh Bỉnh Vô Tướng"
"ex:monk/chanh_can_hy_phung","Chánh Cần Hy Phụng"
"ex:monk/chanh_nhac_bon_sieu","Chánh Nhạc Bổn Siêu"
"ex:monk/chanh_phap_hy_ninh","Chánh Pháp Hy Ninh"
"ex:monk/chanh_phap_kien","Chánh Pháp Kiến"
"ex:monk/chanh_truyen_huyen_huu","Chánh Truyền Huyễn Hữu"
"ex:monk/chat_sanh_tich_van","Chất Sanh Tịch Văn"
"ex:monk/chi_sieu","Chí Siêu"
"ex:monk/chieu_de_bao","Chiêu Đề Bảo"
"ex:monk/chieu_de_tue_lang","Chiều Đề Tuệ Lãng"
"ex:monk/chieu_giac_dao_nguyen","Chiêu Giác Ðạo Nguyên"
"ex:monk/chieu_giac_dao_to","Chiêu Giác Ðạo Tổ"
"ex:monk/chieu_giac_thieu_an","Chiêu Giác Thiệu Uyên"
"ex:monk/chieu_giac_thuan_bach","Chiêu Giác Thuần Bạch"
"ex:monk/chieu_giac_thuong_tong","Chiếu Giác Thường Tổng"
"ex:monk/chieu_hien_hoi_thong","Chiêu Hiền Hội Thông"
"ex:monk/chieu_hien_hoi_thong","Chiều Hiền Hội Thông"
"ex:monk/chieu_khanh_phap_nhan","Chiêu Khánh Pháp Nhân"
"ex:monk/chieu_khanh_tinh_dang","Chiêu Khánh Tỉnh Đăng"
"ex:monk/chon_an_chanh_liem","Chơn An Chánh Liêm"
"ex:monk/chon_an_duong_tin","Chơn Ấn Đương Tín"
