ex:monk/a_nan","Tôn Giả A Nan"
"ex:monk/nhu_duc_giac_dinh","Như Dục Giác Định"
"ex:monk/nhu_duong_giac_tinh","Như Đương Giác Tỉnh"
"ex:monk/nhu_duong_hue_quy","Như Đường Huệ Quý"
"ex:monk/nhu_giac_giac_ngo","Như Giác Giác Ngộ"
"ex:monk/nhu_giac_ton_hoi","Như Giác Tôn Hội"
"ex:monk/nhu_hai_hue_duc","Như Hải Huệ Đức"
"ex:monk/nhu_hai_hue_duc","Như Hải Huệ Đức"
"ex:monk/nhu_han_nguyen_cat","Như Hán Nguyên Cát"
"ex:monk/nhu_hanh_huyen_tham","Như Hạnh Huyền Thâm"
"ex:monk/nhu_hien_chi_thien","Như Hiền Chí Thiền"
"ex:monk/nhu_hien_hue_huu","Như Hiến Huệ Hựu"
"ex:monk/nhu_hoa_tam_an","Như Hòa Tâm Ấn"
"ex:monk/nhu_hoan_hue_trang","Như Hoàn Huệ Tràng"
"ex:monk/nhu_hue_thien_tam","Như Huệ Thiền Tâm"
"ex:monk/nhu_hue_tri_thong","Như Huệ Trí Thông"
"ex:monk/nhu_huong_giac_hoa","Như Hương Giác Hoa"
"ex:monk/nhu_huong_hoa_phuoc","Như Hương Hòa Phước"
"ex:monk/nhu_huong_huyen_tam","Như Hương Huyền Tâm"
"ex:monk/nhu_huong_tho_minh","Như Hường Thọ Minh"
"ex:monk/nhu_huu_vien_thuan","Như Hữu Viên Thuận"
"ex:monk/nhu_ien_hue_chan","Như Ðiền Huệ Chấn"
"ex:monk/nhu_ien_tri_tam","Như Ðiển Trí Tâm"
"ex:monk/nhu_ke_huyen_duc","Như Kế Huyền Đức"
"ex:monk/nhu_ke_huyen_ton","Như Kế Huyền Tôn"
"ex:monk/nhu_ke_huyen_vi","Như Kế Huyền Vi"
"ex:monk/nhu_khanh_hue_tien","Như Khanh Huệ Tiên"
"ex:monk/nhu_khoa_thien_chanh","Như Khoa Thiện Chánh"
"ex:monk/nhu_khuon_giac_son","Như Khuôn Giác Sơn"
"ex:monk/nhu_khuong_giac_son","Như Khuông Giác Sơn"
"ex:monk/nhu_khuong_thanh_quang","Như Khương Thanh Quang"
"ex:monk/nhu_lam_minh_tri","Như Lâm Minh Trí"
"ex:monk/nhu_lam_quang_danh","Như Lâm Quang Đảnh"
"ex:monk/nhu_lap_giai_thanh","Như Lập Giải Thành"
"ex:monk/nhu_le_huyen_dung","Như Lễ Huyền Dung"
"ex:monk/nhu_le_tin_tri","Như Lễ Tín Trí"
"ex:monk/nhu_long_giai_thanh","Như Long Giải Thạnh"
"ex:monk/nhu_luan_tri_thuc","Như Luận Trí Thức"
"ex:monk/nhu_man_hoan_phu","Như Mẫn Hoàn Phú"
"ex:monk/nhu_mau_hue_phuong","Như Mậu Huệ Phương"
"ex:monk/nhu_mau_truong_xuan","Như Mậu Trường Xuân"
"ex:monk/nhu_minh","Như Minh"
"ex:monk/nhu_minh_tanh_tinh","Như Minh Tánh Tịnh"
"ex:monk/nhu_nghi_giac_tuong","Như Nghi Giác Tường"
"ex:monk/nhu_nghia_giac_hanh","Như Nghĩa Giác Hạnh"
"ex:monk/nhu_nghia_tan_hanh","Như Nghĩa Tấn Hạnh"
"ex:monk/nhu_nghia_tin_truyen","Như Nghĩa Tín Truyền"
"ex:monk/nhu_nha_giac_y","Như Nhã Giác Ý"
"ex:monk/nhu_nhan_tri_giac","Như Nhàn Trí Giác"
"ex:monk/nhu_nhiem_giai_tanh","Như Nhiệm Giải Tánh"
"ex:monk/nhu_niem_bao_toan","Như Niệm Bảo Toàn"
"ex:monk/nhu_pham_chung_quang","Như Phẩm Chủng Quang"
"ex:monk/nhu_pham_huyen_hoa","Như Phẩm Huyền Hoa"
"ex:monk/nhu_phuc_giai_dieu","Như Phục Giải Điều"
"ex:monk/nhu_phung_thien_tri","Như Phụng Thiện Trì"
"ex:monk/nhu_phuoc_huyen_y","Như Phước Huyền Ý"
"ex:monk/nhu_qua_hoan_tuyen","Như Quả Hoàn Tuyên"
"ex:monk/nhu_quang_giac_duc","Như Quang Giác Đức"
"ex:monk/nhu_quang_hoang_phuc","Như Quang Hoằng Phúc"
"ex:monk/nhu_quang_tri_minh","Như Quang Trí Minh"
"ex:monk/nhu_quy_phap_an","Như Quý Pháp Ấn"
"ex:monk/nhu_quy_tri_nghiem","Như Quý Trí Nghiêm"
"ex:monk/nhu_quy_vien_thien","Như Quý Viên Thiện"
"ex:monk/nhu_quyen_giai_dat","Như Quyền Giải Đạt"
"ex:monk/nhu_sum_giac_tri","Như Sum Giác Trí"
"ex:monk/nhu_sum_giac_tri","Như Sum Giác Trí"
"ex:monk/nhu_tam_phuoc_nhu","Như Tâm Phước Như"
"ex:monk/nhu_tan_hue_minh","Như Tấn Huệ Minh"
"ex:monk/nhu_tham_giai_nguyen","Như Thâm Giải Nguyện"
"ex:monk/nhu_thanh_hue_chau","Như Thạnh  Huệ Châu"
"ex:monk/nhu_thanh_phuoc_loc","Như Thanh Phước Lộc"
"ex:monk/nhu_thi_hue_oai","Như Thị Huệ Oai"
"ex:monk/nhu_thien_hoan_quan","Như Thiện Hoàn Quan"
"ex:monk/nhu_thien_huyen_an","Như Thiền Huyền An"
"ex:monk/nhu_thien_phuoc_dat","Như Thiện Phước Đạt"
"ex:monk/nhu_tho_buu_lam","Như Thọ Bửu Lâm"
"ex:monk/nhu_tho_giac_hoa","Như Thọ Giác Hoa"
"ex:monk/nhu_tho_huyen_tan","Như Thọ Huyền Tân"
"ex:monk/nhu_thong_huyen_an","Như Thông Huyền Ấn"
"ex:monk/nhu_thong_huyen_ngo","Như Thông Huyền Ngộ"
"ex:monk/nhu_thong_ton_nguyen","Như Thông Tôn Nguyên"
"ex:monk/nhu_thu_giai_hoc","Như Thư Giải Học"
"ex:monk/nhu_thua_hoang_nguyen","Như Thừa Hoằng Nguyện"
"ex:monk/nhu_thuan_tin_tan","Như Thuận Tín Tấn"
"ex:monk/nhu_thuat_tam_minh","Như Thuật Tâm Minh"
"ex:monk/nhu_thuy_phuoc_hung","Như Thùy Phước Hưng"
"ex:monk/nhu_tien_quang_hung","Như Tiến Quảng Hưng"
"ex:monk/nhu_tin_giac_chanh","Như Cẩm Giác Chơn"
"ex:monk/nhu_tin_giac_chanh","Như Tín Giác Chánh"
"ex:monk/nhu_tin_hue_phat","Như Tín Huệ Phát"
"ex:monk/nhu_trach_bao_danh","Như Trạch Bảo Đảnh"
"ex:monk/nhu_trach_hue_lam","Như Trạch Huệ Lâm"
"ex:monk/nhu_tri_bao_trung","Như Trí Bảo Trung"
"ex:monk/nhu_trien_tri_nhan","Như Triện Trí Nhãn"
"ex:monk/nhu_truc_tri_lam","Như Trúc Trí Lâm"
"ex:monk/nhu_truc_vinh_chau","Như Trực Vĩnh Châu"
"ex:monk/nhu_trung_phuoc_hau","Như Trung Phước Hậu"
"ex:monk/nhu_truyen_tri_nhan","Như Truyện Trí Nhãn"
"ex:monk/nhu_tu_hue_tri","Như Từ Huệ Trí"
"ex:monk/nhu_tuoc_hoang_an","Như Tước Hoằng An"
"ex:monk/nhu_tuyet_luu_duc","Như Tuyết Lưu Đức"
"ex:monk/nhu_van_tri_phuoc","Như Vạn Trí Phước"
"ex:monk/nhu_vinh_giac_chuong","Như Vinh Giác Chương"
"ex:monk/nhu_vinh_phap_y","Như Vinh Pháp Ý"
"ex:monk/nhu_xuan_van_tho","Như Xuân Vạn Thọ"
"ex:monk/nhu_xuong_giai_an","Như Xướng Giải Ân"
"ex:monk/nhuan_vuong_xu_binh","Nhuận Vương Xứ Bình"
"ex:monk/nhut_binh_tri_tinh","Nhựt Bình Trí Tịnh"
"ex:monk/noi_hang_to_thuc","Nội Hàng Tô Thức"
"ex:monk/noi_hang_to_thuc","Nội hàng Tô Thức"
"ex:monk/o_cu_nhu_y","Ô Cự Như Ý"
"ex:monk/o_cu_quang","Ô Cự Quang"
"ex:monk/o_cuu","Ô Cựu"
"ex:monk/o_hoi_luong_pham","Ô Hồi Lương Phạm"
"ex:monk/o_nha_ngan_tan","Ô Nha Ngạn Tân"
"ex:monk/o_nhai_so","Ô Nhai Sở"
"ex:monk/o_thach_linh_quan","Ô Thạch Linh Quán"
"ex:monk/on_chau_canh_phong","Ôn Châu Cảnh Phong"
"ex:monk/on_chau_phat_ao","Ôn Châu Phật Áo"
"ex:monk/ong_chanh_tinh_giac","Ðồng Chánh Tịnh Giác"
"ex:monk/ong_chanh_tinh_nhu","Ðồng Chánh Tịnh Như"
"ex:monk/ong_chon_thong_niem","Ðồng Chơn Thông Niệm"
"ex:monk/ong_huy_quang_tu","Ðồng Huy Quảng Tú"
"ex:monk/ong_ien","Ðồng Ðiển"
"ex:monk/ong_kinh_tin_qua","Ðồng Kỉnh Tín Quả"
"ex:monk/ong_o_tinh_khiet","Ðồng Ðộ Tịnh Khiết"
"ex:monk/ong_phuoc_thong_buu","Ðồng Phước Thông Bửu"
"ex:monk/pha_am_tinh_dang","Phá Ám Tịnh Đăng"
"ex:monk/pha_am_to_tien","Phá Am Tổ Tiên"
"ex:monk/pha_am_to_tien","Vô Chuẩn Sư Phạm"
"ex:monk/pham_huyen_quan","Thành Đô Phạm Huyện Quân"
"ex:monk/pham_xung","Cư Sĩ Tả Thừa Phạm Xung"
"ex:monk/phan_chau_thach_lau","Phần Châu Thạch Lâu"
"ex:monk/phan_chau_vo_nghiep","Phần Châu Vô Nghiệp"
"ex:monk/phan_duong_thang","Phần Dương Thảng"
"ex:monk/phan_duong_thien_chieu","Phần Dương Thiện Chiêu"
"ex:monk/phan_luong_quy","Cư Sĩ Đãi Chế Phan Lương Quý"
"ex:monk/phan_quang_tinh_xan","Phan Quang Tịnh Xán"
"ex:monk/phap_an_quang_do","Pháp Ấn Quảng Độ"
"ex:monk/phap_chau","Pháp Châu"
"ex:monk/phap_chau_ke_thi","Pháp Châu Kế Thị"
"ex:monk/phap_chuyen_dieu_nghiem","Pháp Chuyên Diệu Nghiêm"
"ex:monk/phap_dien_bao_trang","Pháp Diễn Bảo Tràng"
"ex:monk/phap_hai_vien_hanh_chu","Pháp Hải Viện Hành Chu"
"ex:monk/phap_hien","Pháp Hiền"
"ex:monk/phap_hoa_toan_cu","Pháp Hoa Toàn Cử"
"ex:monk/phap_kiem_minh_giac","Pháp Kiêm Minh Giác"
"ex:monk/phap_kinh_ngo_trung","Pháp Kính Ngô Trung"
"ex:monk/phap_le","Pháp Lệ"
"ex:monk/phap_luan_ngan_tu","Pháp Luân Ngạn Tư"
"ex:monk/phap_luan_te_thiem","Pháp Luân Tề Thiêm"
"ex:monk/phap_luan_ung_doan","Pháp Luân Ứng Ðoan"
"ex:monk/phap_luan_ung_doan","Trường Linh Thủ Trác"
"ex:monk/phap_luan_van_duc","Pháp Luân Văn Dục"
"ex:monk/phap_mon_phat_da","Pháp Môn Phật Đà"
"ex:monk/phap_nhan_thien_truong","Pháp Nhân Thiên Trường"
"ex:monk/phap_nhu","Pháp Như"
"ex:monk/phap_so","Pháp Sơ"
"ex:monk/phap_tanh_an_tong","Pháp Tánh Ấn Tông"
"ex:monk/phap_te_hai_thiem","Pháp Tế Hải Thiềm"
"ex:monk/phap_thach_tue_khong","Pháp Thạch Tuệ Không"
"ex:monk/phap_thai_nhat_le","Pháp Thái Nhật Lệ"
"ex:monk/phap_than_dao_minh","Pháp Thân Đạo Minh"
"ex:monk/phap_tinh_vien_quang","Pháp Tịnh Viên Quang"
"ex:monk/phap_van_cao","Pháp Vân Cảo"
"ex:monk/phat_bao_phap_hoa","Phật Bảo Pháp Hóa"
"ex:monk/phat_chi_duc_hanh","Phật Chí Đức Hạnh"
"ex:monk/phat_da_mat_da","Tôn Giả Phật Đà Mật Đa"
"ex:monk/phat_da_nan_de","Tôn Giả Phật Đà Nan Đề"
"ex:monk/phat_nhat_khe_tung","Phật Nhật Khế Tung"
"ex:monk/phat_quang_nhu_man","Phật Quang Như Mãn"
"ex:monk/phat_quat_duy_tac","Phật Quật Duy Tắc"
"ex:monk/phat_thien_hoa_nghiem","Phật Thiền Hoa Nghiêm"
"ex:monk/phat_thu_nham_nhan","Phật Thủ Nham Nhân"
"ex:monk/phat_tinh_tu_nghiem","Phật Tỉnh Từ Nghiêm"
"ex:monk/phat_tuong_duc_lien","Phật Tường Đức Liên"
"ex:monk/phat_tuyet_tuong_quang","Phật Tuyết Tường Quang"
"ex:monk/phat_y_linh_nhac","Phật Ý Linh Nhạc"
"ex:monk/phi_van_tri_tich","Phi Vân Trí Tịch"
"ex:monk/pho_chieu_hieu_kham","Phổ Chiếu Hiểu Khâm"
"ex:monk/pho_chieu_nhat_bien","Phổ Chiếu Nhất Biện"
"ex:monk/pho_chieu_sung","Phổ Chiếu Sung"
"ex:monk/pho_hien_nguyen_to","Phổ Hiền Nguyên Tố"
"ex:monk/pho_hien_thien_tu","Phổ Hiền Thiện Tú"
"ex:monk/pho_hien_tieu","Phổ Hiền Tiêu"
"ex:monk/pho_minh_duc_dung","Phổ Minh Đức Dụng"
"ex:monk/pho_ninh_to_ngo","Phổ Ninh Tổ Ngộ"
"ex:monk/pho_thong_pho_minh","Phổ Thông Phổ Minh"
"ex:monk/pho_tu_sung_tran","Phổ Từ Sùng Trân"
"ex:monk/phong_huyet_dien_chieu","Phong Huyệt Diên Chiểu"
"ex:monk/phu_boi","Phù Bôi"
"ex:monk/phu_chan_chan_kien","Phù Chẩn Chân Kiên"
"ex:monk/phu_chau_phu_thuyen","Phủ Châu Phú Thuyền"
"ex:monk/phu_chau_thien_nha","Phù Châu Thiện Nhã"
"ex:monk/phu_dung_dao_giai","Phù Dung Đạo Giai"
"ex:monk/phu_dung_linh_huan","Phù Dung Linh Huấn"
"ex:monk/phu_dung_nhu_the","Phù Dung Như Thê"
"ex:monk/phu_dung_thai_duc","Phù Dung Thái Dục"
"ex:monk/phu_na_da_xa","Tôn Giả Phú Na Dạ Xa"
"ex:monk/phu_phong_tuong_chieu_phuoc","Phủ Phong Tường Chiêu Phước"
"ex:monk/phu_son_duc_tuyen","Phù Sơn Ðức Tuyên"
"ex:monk/phu_son_phap_vien","Phù Sơn Pháp Viễn"
"ex:monk/phu_thuyen_hong_tien","Phú Thuyền Hồng Tiến"
"ex:monk/phuc_chau_dai_an","Phúc Châu Đại An"
"ex:monk/phuc_nguu_nguyen_thong","Phục Ngưu Nguyên Thông"
"ex:monk/phuc_nguu_tu_tai","Phục Ngưu Tự Tại"
"ex:monk/phuc_tien_nhan_kiem","Phúc Tiên Nhân Kiệm"
"ex:monk/phung_hoang_the_dao","Phụng Hoàng Thế Dao"
"ex:monk/phung_hoang_tung_tham","Phụng Hoàng Tùng Thâm"
"ex:monk/phung_quoc_thanh_hai","Phụng Quốc Thanh Hải"
"ex:monk/phung_the_tue_chi","Phụng Thê Tuệ Chí"
"ex:monk/phung_the_tue_quan","Phụng Thê Tuệ Quán"
"ex:monk/phung_tien_dao_tham","Phụng Tiên Đạo Thâm"
"ex:monk/phung_tien_phap_hoai","Phụng Tiên Pháp Hoài"
"ex:monk/phung_tiep","Cư Sĩ Cấp Sự Phùng Tiếp"
"ex:monk/phung_tuong_phat_da","Phụng Tường Phật Đà"
"ex:monk/phung_tuong_phu_thanh_phong","Phụng Tường Phủ Thanh Phong"
"ex:monk/phung_tuong_thach_tru","Phụng Tường Thạch Trụ"
"ex:monk/phung_tuong_thien_cai_u","Phụng Tường Thiên Cái U"
"ex:monk/phung_tuong_vo_cau","Phụng Tường Vô Cấu"
"ex:monk/phuoc_chau_an_quoc_tuong","Phước Châu An Quốc Tường"
"ex:monk/phuoc_chau_bao_quoc_chieu","Phước Châu Báo Quốc Chiếu"
"ex:monk/phuoc_chau_cham_phong","Phước Châu Chẩm Phong"
"ex:monk/phuoc_chau_hung_thanh_man","Phước Châu Hưng Thánh Mãn"
"ex:monk/phuoc_chau_huyen_thong","Phước Châu Huyền Thông"
"ex:monk/phuoc_chau_nguu_dau_vi","Phước Châu Ngưu Đầu Vi"
"ex:monk/phuoc_chau_pho_quang","Phước Châu Phổ Quang"
"ex:monk/phuoc_chau_song_phong","Phước Châu Song Phong"
"ex:monk/phuoc_chau_thach_phat_tinh","Phước Châu Thạch Phật Tịnh"
"ex:monk/phuoc_chau_thang_son_nhu","Phước Châu Thăng Sơn Nhu"
"ex:monk/phuoc_chau_thien_tong_minh","Phước Châu Thiên Tông Minh"
"ex:monk/phuoc_chau_toai_thach","Phước Châu Toái Thạch"
"ex:monk/phuoc_chau_vinh_hung_loc","Phước Châu Vĩnh Hưng Lộc"
"ex:monk/phuoc_chau_vinh_long_doanh","Phước Châu Vĩnh Long Doanh"
"ex:monk/phuoc_chau_vinh_thai","Phước Châu Vĩnh Thái"
"ex:monk/phuoc_khe","Phước Khê"
"ex:monk/phuoc_nghiem_bao_tong","Phước Nghiêm Bảo Tông"
"ex:monk/phuoc_nghiem_hien","Phước Nghiêm Hiền"
"ex:monk/phuoc_nghiem_tham_thua","Phước Nghiêm Thẩm Thừa"
"ex:monk/phuoc_nghiem_tri","Phước Nghiêm Trí"
"ex:monk/phuoc_nghiem_tu_cam","Phước Nghiêm Từ Cảm"
"ex:monk/phuoc_nghiem_van_dien","Phước Nghiêm Vân Diễn"
"ex:monk/phuoc_thanh_huyen_not","Phước Thanh Huyền Nột"
"ex:monk/phuoc_thanh_su_nguy","Phước Thanh Sư Nguy"
"ex:monk/phuoc_tinh","Phước Tịnh"
"ex:monk/phuoc_ung_van","Phước Ứng Văn"
"ex:monk/phuong_bien","Phương Biện"
"ex:monk/phuong_lai_xuong_vien","Phương Lai Xương Viễn"
"ex:monk/phuong_quang_huu_dat","Phương Quảng Hữu Ðạt"
"ex:monk/phuong_quang_long","Phương Quảng Long"
"ex:monk/phuong_quang_tham","Phương Quảng Thâm"
"ex:monk/phuong_son_tue_bao","Phương Sơn Tuệ Bảo"
"ex:monk/phuong_van_minh_thong","Phương Văn Minh Thông"
"ex:monk/qua_hoang_hung_lien","Quả Hoằng Hưng Liên"
"ex:monk/qua_lang_tuyen_thap","Quả Lãng Tuyên Thập"
"ex:monk/quach_tuong_chanh","Cư Sĩ Ðề Hình Quách Tường Chánh"
"ex:monk/quan_am_tung_hien","Quán Âm Tùng Hiển"
"ex:monk/quan_am_vien_nham_tuan","Quan Âm Viện Nham Tuấn"
"ex:monk/quan_chau_dong_son_lam","Quân Châu Động Sơn Lẫm"
"ex:monk/quan_chau_hoang_ba_doanh","Quân Châu Hoàng Bá Doanh"
"ex:monk/quan_chau_hoang_ba_tue","Quân Châu Hoàng Bá Tuệ"
"ex:monk/quan_chau_linh_nham","Quán Châu Linh Nham"
"ex:monk/quan_khe_chi_nhan","Quán Khê Chí Nhàn"
"ex:monk/quan_son_giac","Quân Sơn Giác"
"ex:monk/quan_son_pho_tinh","Quân Sơn Phổ Tịnh"
"ex:monk/quan_van_vuong_thieu","Cư Sĩ Quán Văn Vương Thiều"
"ex:monk/quang_chau_chi_dao","Quảng Châu Chí Đạo"
"ex:monk/quang_chau_hoa_nghiem_tue","Quảng Châu Hoa Nghiêm Tuệ"
"ex:monk/quang_chau_la_son_sung","Quảng Châu La Sơn Sùng"
"ex:monk/quang_chau_long_canh_luan","Quảng Châu Long Cảnh Luân"
"ex:monk/quang_chau_quang_van_nguyen","Quảng Châu Quảng Vân Nguyên"
"ex:monk/quang_giao_ke_chan","Quảng Giáo Kế Chân"
"ex:monk/quang_hieu_dam","Quang Hiếu Ðàm"
"ex:monk/quang_hieu_duc_chu","Quang Hiếu Ðức Chu"
"ex:monk/quang_hieu_duy_sang","Quang Hiếu Duy Sảng"
"ex:monk/quang_hieu_ngo_so","Quang Hiếu Ngộ Sơ"
"ex:monk/quang_hieu_pho_an","Quang Hiếu Phổ Ấn"
"ex:monk/quang_hieu_qua_man","Quang Hiếu Quả Mẫn"
"ex:monk/quang_hieu_tri_vien","Quang Hiếu Trí Viễn"
"ex:monk/quang_hieu_tu_triet","Quang Hiếu Tư Triệt"
"ex:monk/quang_hieu_tue_lan","Quang Hiếu Tuệ Lan"
"ex:monk/quang_hoa_tuong","Quang Hóa Tường"
"ex:monk/quang_lu_nhu_nhu","Quang Lư Như Như"
"ex:monk/quang_nam_dao_ngo","Quang Nam Đạo Ngô"
"ex:monk/quang_nam_dao_thuong","Quang Nam Đạo Thường"
"ex:monk/quang_nghiem_ham_trach","Quảng Nghiêm Hàm Trạch"
"ex:monk/quang_nguyet_duc_bao","Quảng Nguyệt Đức Bảo"
"ex:monk/quang_phap_nguyen","Quảng Pháp Nguyên"
"ex:monk/quang_phuoc_ao_can","Quảng Phước Ðạo Cần"
"ex:monk/quang_quoc_van_tan","Quang Quốc Văn Tán"
"ex:monk/quang_te_phuong","Quảng Tế Phương"
"ex:monk/quang_tue_dat_cao","Quảng Tuệ Đạt Cảo"
"ex:monk/quang_tue_duc_tuyen","Quảng Tuệ Ðức Tuyên"
"ex:monk/quang_tue_nguyen_lien","Quảng Tuệ Nguyên Liên"
"ex:monk/quang_tue_nguyen_lien","Động Đình Tuệ Nguyệt"
"ex:monk/quang_tue_phap_thong","Quảng Tuệ Pháp Thông"
"ex:monk/quang_van_dieu_tri","Quang Vân Diệu Trí"
"ex:monk/que_duong_chi_thong","Quế Dương Chí Thông"
"ex:monk/que_duong_long_phuoc_chan","Quế Dương Long Phước Chân"
"ex:monk/quoc_su_thien_thai_duc_thieu","Quốc Sư Thiên Thai Đức Thiều"
"ex:monk/quoc_thanh_hanh_co","Quốc Thanh Hạnh Cơ"
"ex:monk/quoc_thanh_su_tinh","Quốc Thanh Sư Tịnh"
"ex:monk/quy_duong_vo_lieu","Quy Dương Vô Liễu"
"ex:monk/quy_phong_tu_quynh","Quy Phong Tử Quỳnh"
"ex:monk/quy_son_hieu_tan","Quy Sơn Hiểu Tân"
"ex:monk/quy_son_linh_huu","Quy Sơn Linh Hựu"
"ex:monk/quy_son_nghia_so","Quy Sơn Nghĩa Sơ"
"ex:monk/quy_son_tri_chan","Quy Sơn Trí Chân"
"ex:monk/quy_tong_chanh_hien","Quy Tông Chánh Hiền"
"ex:monk/quy_tong_chi_chi","Am Chủ Quy Tông Chí Chi"
"ex:monk/quy_tong_dam_quyen","Quy Tông Đạm Quyền"
"ex:monk/quy_tong_hoai_uan","Quy Tông Hoài Uẩn"
"ex:monk/quy_tong_kha_tuyen","Quy Tông Khả Tuyên"
"ex:monk/quy_tong_minh","Quy Tông Minh"
"ex:monk/quy_tong_mong_kham","Quy Tông Mộng Khâm"
"ex:monk/quy_tong_nghia_nhu","Quy Tông Nghĩa Nhu"
"ex:monk/quy_tong_sach_chan","Quy Tông Sách Chân"
"ex:monk/quy_tong_su_tue","Quy Tông Sư Tuệ"
"ex:monk/quy_tong_tinh_nhat","Quy Tông Tĩnh Nhất"
"ex:monk/quy_tong_tri_thuong","Quy Tông Trí Thường"
"ex:monk/sa_di_ni_an_than_to_niem","Sa Di Ni Ấn Thận Tổ Niệm"
"ex:monk/sieu_hoa_tao","Siêu Hóa Tảo"
"ex:monk/sieu_hoa_tinh","Siêu Hóa Tỉnh"
"ex:monk/sieu_ngan","Siêu Ngạn"
"ex:monk/sinh_chau_dong_tuyen","Sính Châu Đồng Tuyền"
"ex:monk/sinh_chau_hung_duong_son","Sính Châu Hưng Dương Sơn"
"ex:monk/so_an_hue_phuong","Sở An Huệ Phương"
"ex:monk/so_chau_quan_am_ban","Sở Châu Quán Âm Bân"
"ex:monk/so_son_chung","Sơ Sơn Chứng"
"ex:monk/so_son_lieu_thuong","Sơ Sơn Liễu Thường"
"ex:monk/so_son_nhu_ban","Sơ Sơn Như Bản"
"ex:monk/so_son_quang_nhan","Sơ Sơn Quang Nhân"
"ex:monk/son_chu_dong_lam_uc","Sơn Chủ Ðông Lâm Úc"
"ex:monk/song_khe_an","Song Khê Ấn"
"ex:monk/song_khe_duan_quang","Song Khê Duẫn Quang"
"ex:monk/song_lam_duc_dung","Song Lâm Đức Dụng"
"ex:monk/song_lanh_hoa","Song Lãnh Hóa"
"ex:monk/song_linh_huyen_chan","Song Lĩnh Huyền Chân"
"ex:monk/song_long_bang","Song Lâm Bằng"
"ex:monk/song_luu_uy_tri","Song Lưu Úy Trì"
"ex:monk/song_phong_canh_kham","Song Phong Cảnh Khâm"
"ex:monk/song_phong_canh_te","Song Phong Cảnh Tề"
"ex:monk/song_phong_co","Song Phong Cổ"
"ex:monk/song_phong_tinh_hoi","Song Phong Tỉnh Hồi"
"ex:monk/song_phong_tue_chan","Song Phong Tuệ Chân"
"ex:monk/song_tuyen_luong_gia","Song Tuyền Lương Gia"
"ex:monk/song_tuyen_nguyet","Song Tuyền Nguyệt"
"ex:monk/song_tuyen_nhan_uc","Song Tuyền Nhân Úc"
"ex:monk/song_tuyen_su_khoan","Song Tuyền Sư Khoan"
"ex:monk/su_tu_ty_kheo","Tôn Giả Sư Tử Tỳ Kheo"
"ex:monk/sung_phuoc_dien_giao","Sùng Phước Diễn Giáo"
"ex:monk/sung_thang_ky","Sùng Thắng Kỳ"
"ex:monk/sung_thang_tri_thong","Sùng Thắng Trí Thông"
"ex:monk/sung_tho_khe_dieu","Sùng Thọ Khế Điều"
"ex:monk/t_s_bac_giang_tay_lan_nhuong_nhuong","Nhượng"
"ex:monk/t_s_bach_nham_minh_triet_fa_tu_doi_thu_hai_cua_nam_nhac_hoai_nhuong_phap_tu_cua_ma_to_dao_nhat","法 tự đời thứ hai của Nam Nhạc Hoài Nhượng Pháp tự của Mã Tổ Đạo Nhất"
"ex:monk/t_s_bach_nham_minh_triet_minh_triet","Minh Triết"
"ex:monk/t_s_bach_nham_minh_triet_thien_su","Thiền Sư"
"ex:monk/t_s_bon_khe_bon_khe","Bổn Khê"
"ex:monk/t_s_bon_khe_thien_su","Thiền sư"
"ex:monk/tac_xuyen","Tắc Xuyên"
"ex:monk/tam_an_vien_quang","Tâm Ấn Viên Quang"
"ex:monk/tam_ang_chon_nhu","Tâm Ðăng Chơn Như"
"ex:monk/tam_binh_nghia_trung","Tam Bình Nghĩa Trung"
"ex:monk/tam_canh_giac_hanh","Tâm Cảnh Giác Hạnh"
"ex:monk/tam_chon_mat_tin","Tâm Chơn Mật Tín"
"ex:monk/tam_dang_tri_hien","Tâm Đăng Trí Hiển"
"ex:monk/tam_dao_thanh_quang","Tâm Đạo Thanh Quang"
"ex:monk/tam_dia_mat_khe","Tâm Địa Mật Khế"
"ex:monk/tam_duong_nhat_tam","Tâm Đương Nhất Tâm"
"ex:monk/tam_giac_chan_giam","Tam Giác Chân Giám"
"ex:monk/tam_giac_chi_thao","Tam Giác Chí Thao"
"ex:monk/tam_giac_linh_khue","Tam Giác Linh Khuê"
"ex:monk/tam_giac_tri_nghieu","Tam Giác Trí Nghiêu"
"ex:monk/tam_giac_tue_trach","Tam Giác Tuệ Trạch"
"ex:monk/tam_giai_tuong_ung","Tâm Giải Tương Ưng"
"ex:monk/tam_giao_tri_tung","Tam Giao Trí Tung"
"ex:monk/tam_hoa_thien_thai","Tâm Hòa Thiên Thái"
"ex:monk/tam_hong_tu_huong","Tâm Hồng Từ Hương"
"ex:monk/tam_huong_mat_hien","Tâm Hương Mật Hiển"
"ex:monk/tam_khai_nhat_lien","Tâm Khai Nhật Liên"
"ex:monk/tam_le_chanh_kien","Tâm Lễ Chánh Kiến"
"ex:monk/tam_luong_dieu_hoang","Tâm Lương Diệu Hoằng"
"ex:monk/tam_luong_tu_man","Tâm Lượng Từ Mẫn"
"ex:monk/tam_minh_chon_thiet","Tâm Minh Chơn Thiệt"
"ex:monk/tam_nghi_minh_vu","Tam Nghi Minh Vu"
"ex:monk/tam_nghia_nhan_tu","Tâm Nghĩa Nhân Từ"
"ex:monk/tam_nguyen_tieu_dieu","Tâm Nguyện Tiêu Diêu"
